Kode,Nama Perusahaan
MBSS,Mitrabahtera Segara Sejati Tbk
MBTO,Martina Berto Tbk.
MCAS,M Cash Integrasi Tbk.
MCOL,Prima Andalan Mandiri Tbk.
MCOR,Bank China Construction Bank I
MDIA,Intermedia Capital Tbk.
MDKA,Merdeka Copper Gold Tbk.
MDKI,Emdeki Utama Tbk.
MDLN,Modernland Realty Tbk.
MDRN,Modern Internasional Tbk.
MEDC,Medco Energi Internasional Tbk
MEDS,Hetzer Medical Indonesia Tbk.
MEGA,Bank Mega Tbk.
MEJA,Harta Djaya Karya Tbk.
MENN,Menn Teknologi Indonesia Tbk.
MERK,Merck Tbk.
META,Nusantara Infrastructure Tbk.
MFIN,Mandala Multifinance Tbk.
MFMI,Multifiling Mitra Indonesia Tb
MGLV,Panca Anugrah Wisesa Tbk.
MGNA,Magna Investama Mandiri Tbk.
MGRO,Mahkota Group Tbk.
MHKI,Multi Hanna Kreasindo Tbk.
MICE,Multi Indocitra Tbk.
MIDI,Midi Utama Indonesia Tbk.
MIKA,Mitra Keluarga Karyasehat Tbk.
MINA,Sanurhasta Mitra Tbk.
MIRA,Mitra International Resources 
MITI,Mitra Investindo Tbk.
MKAP,Multikarya Asia Pasifik Raya T
MKNT,Mitra Komunikasi Nusantara Tbk
MKPI,Metropolitan Kentjana Tbk.
MKTR,Menthobi Karyatama Raya Tbk.
MLBI,Multi Bintang Indonesia Tbk.
MLIA,Mulia Industrindo Tbk
MLPL,Multipolar Tbk.
MLPT,Multipolar Technology Tbk.
MMIX,Multi Medika Internasional Tbk
MMLP,Mega Manunggal Property Tbk.
MNCN,Media Nusantara Citra Tbk.
MOLI,Madusari Murni Indah Tbk.
MORA,Mora Telematika Indonesia Tbk.
MPIX,Mitra Pedagang Indonesia Tbk.
MPMX,Mitra Pinasthika Mustika Tbk.
MPOW,Megapower Makmur Tbk.
MPPA,Matahari Putra Prima Tbk.
MPRO,Maha Properti Indonesia Tbk.
MPXL,MPX Logistics International Tb
MRAT,Mustika Ratu Tbk.
MREI,Maskapai Reasuransi Indonesia 
MSIE,Multisarana Intan Eduka Tbk.
MSIN,MNC Digital Entertainment Tbk.
MSJA,Multi Spunindo Jaya Tbk.
MSKY,MNC Sky Vision Tbk.
MSTI,Mastersystem Infotama Tbk.
MTDL,Metrodata Electronics Tbk.
MTEL,Dayamitra Telekomunikasi Tbk.
MTFN,Capitalinc Investment Tbk.
MTLA,Metropolitan Land Tbk.
MTMH,Murni Sadar Tbk.
MTPS,Meta Epsi Tbk.
MTRA,Mitra Pemuda Tbk.
MTSM,Metro Realty Tbk.
MTWI,Malacca Trust Wuwungan Insuran
MUTU,Mutuagung Lestari Tbk.
MYOH,Samindo Resources Tbk.
MYOR,Mayora Indah Tbk.
MYRX,Hanson International Tbk.
MYTX,Asia Pacific Investama Tbk.
NANO,Nanotech Indonesia Global Tbk.
NASA,Andalan Perkasa Abadi Tbk.
NASI,Wahana Inti Makmur Tbk.
NATO,Surya Permata Andalan Tbk.
NAYZ,Hassana Boga Sejahtera Tbk.
NCKL,Trimegah Bangun Persada Tbk.
NELY,Pelayaran Nelly Dwi Putri Tbk.
NETV,Net Visi Media Tbk.
NFCX,NFC Indonesia Tbk.
NICE,Adhi Kartiko Pratama Tbk.
NICK,Charnic Capital Tbk.
NICL,PAM Mineral Tbk.
NIKL,Pelat Timah Nusantara Tbk.
NINE,Techno9 Indonesia Tbk.
NIPS,Nipress Tbk.
NIRO,City Retail Developments Tbk.
NISP,Bank OCBC NISP Tbk.
NOBU,Bank Nationalnobu Tbk.
NPGF,Nusa Palapa Gemilang Tbk.
NRCA,Nusa Raya Cipta Tbk.
NSSS,Nusantara Sawit Sejahtera Tbk.
NTBK,Nusatama Berkah Tbk.
NUSA,Sinergi Megah Internusa Tbk.
NZIA,Nusantara Almazia Tbk.
OASA,Maharaksa Biru Energi Tbk.
OBMD,OBM Drilchem Tbk.
OCAP,Onix Capital Tbk.
OILS,Indo Oil Perkasa Tbk.
OKAS,Ancora Indonesia Resources Tbk
OLIV,Oscar Mitra Sukses Sejahtera T
OMED,Jayamas Medica Industri Tbk.
OMRE,Indonesia Prima Property Tbk
OPMS,Optima Prima Metal Sinergi Tbk
PACK,Solusi Kemasan Digital Tbk.
PADA,Personel Alih Daya Tbk.
PADI,Minna Padi Investama Sekuritas
PALM,Provident Investasi Bersama Tb
PAMG,Bima Sakti Pertiwi Tbk.
